PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
940,1,female,60.0,0,0,76.2917,C,0
941,3,female,36.0,0,2,15.9,S,0
942,1,male,24.0,1,0,60.0,S,1
943,2,male,27.0,0,0,15.0333,C,0
944,2,female,20.0,2,1,23.0,S,0
945,1,female,28.0,3,2,263.0,S,1
946,2,male,27.0,0,0,15.5792,C,0
947,3,male,10.0,4,1,29.125,Q,0
948,3,male,35.0,0,0,7.8958,S,0
949,3,male,25.0,0,0,7.65,S,0
950,3,male,27.0,1,0,16.1,S,0
951,1,female,36.0,0,0,262.375,C,1
952,3,male,17.0,0,0,7.8958,S,0
953,2,male,32.0,0,0,13.5,S,0
954,3,male,18.0,0,0,7.75,S,0
955,3,female,22.0,0,0,7.725,Q,0
956,1,male,13.0,2,2,262.375,C,1
957,2,female,27.0,0,0,21.0,S,0
958,3,female,18.0,0,0,7.8792,Q,0
959,1,male,47.0,0,0,42.4,S,1
960,1,male,31.0,0,0,28.5375,C,1
961,1,female,60.0,1,4,263.0,S,1
962,3,female,24.0,0,0,7.75,Q,0
963,3,male,21.0,0,0,7.8958,S,0
964,3,female,29.0,0,0,7.925,S,0
965,1,male,28.5,0,0,27.7208,C,1
966,1,female,35.0,0,0,211.5,C,1
967,1,male,32.5,0,0,211.5,C,1
968,3,male,27.0,0,0,8.05,S,0
969,1,female,55.0,2,0,25.7,S,0
970,2,male,30.0,0,0,13.0,S,0
971,3,female,24.0,0,0,7.75,Q,0
972,3,male,6.0,1,1,15.2458,C,0
973,1,male,67.0,1,0,221.7792,S,1
974,1,male,49.0,0,0,26.0,S,0
975,3,male,27.0,0,0,7.8958,S,0
976,2,male,27.0,0,0,10.7083,Q,0
977,3,male,27.0,1,0,14.4542,C,0
978,3,female,27.0,0,0,7.8792,Q,0
979,3,female,18.0,0,0,8.05,S,0
980,3,female,27.0,0,0,7.75,Q,0
981,2,male,2.0,1,1,23.0,S,1
982,3,female,22.0,1,0,13.9,S,0
983,3,male,27.0,0,0,7.775,S,0
984,1,female,27.0,1,2,52.0,S,1
985,3,male,27.0,0,0,8.05,S,0
986,1,male,25.0,0,0,26.0,C,1
987,3,male,25.0,0,0,7.7958,S,0
988,1,female,76.0,1,0,78.85,S,0
989,3,male,29.0,0,0,7.925,S,0
990,3,female,20.0,0,0,7.8542,S,0
991,3,male,33.0,0,0,8.05,S,0
992,1,female,43.0,1,0,55.4417,C,0
993,2,male,27.0,1,0,26.0,S,0
994,3,male,27.0,0,0,7.75,Q,0
995,3,male,26.0,0,0,7.775,S,0
996,3,female,16.0,1,1,8.5167,C,0
997,3,male,28.0,0,0,22.525,S,0
998,3,male,21.0,0,0,7.8208,Q,0
999,3,male,27.0,0,0,7.75,Q,0
1000,3,male,27.0,0,0,8.7125,S,0
1001,2,male,18.5,0,0,13.0,S,1
1002,2,male,41.0,0,0,15.0458,C,0
1003,3,female,27.0,0,0,7.7792,Q,0
1004,1,female,36.0,0,0,31.6792,C,1
1005,3,female,18.5,0,0,7.2833,Q,0
1006,1,female,63.0,1,0,221.7792,S,1
1007,3,male,18.0,1,0,14.4542,C,0
1008,3,male,27.0,0,0,6.4375,C,0
1009,3,female,1.0,1,1,16.7,S,0
1010,1,male,36.0,0,0,75.2417,C,1
1011,2,female,29.0,1,0,26.0,S,0
1012,2,female,12.0,0,0,15.75,S,1
1013,3,male,27.0,1,0,7.75,Q,0
1014,1,female,35.0,1,0,57.75,C,1
1015,3,male,28.0,0,0,7.25,S,0
1016,3,male,27.0,0,0,7.75,Q,0
1017,3,female,17.0,0,1,16.1,S,0
1018,3,male,22.0,0,0,7.7958,S,0
1019,3,female,27.0,2,0,23.25,Q,0
1020,2,male,42.0,0,0,13.0,S,0
1021,3,male,24.0,0,0,8.05,S,0
1022,3,male,32.0,0,0,8.05,S,0
1023,1,male,53.0,0,0,28.5,C,0
1024,3,female,27.0,0,4,25.4667,S,0
1025,3,male,27.0,1,0,6.4375,C,0
1026,3,male,43.0,0,0,7.8958,S,0
1027,3,male,24.0,0,0,7.8542,S,0
1028,3,male,26.5,0,0,7.225,C,0
1029,2,male,26.0,0,0,13.0,S,0
1030,3,female,23.0,0,0,8.05,S,0
1031,3,male,40.0,1,6,46.9,S,0
1032,3,female,10.0,5,2,46.9,S,0
1033,1,female,33.0,0,0,151.55,S,1
1034,1,male,61.0,1,3,262.375,C,1
1035,2,male,28.0,0,0,26.0,S,0
1036,1,male,42.0,0,0,26.55,S,1
1037,3,male,31.0,3,0,18.0,S,0
1038,1,male,27.0,0,0,51.8625,S,1
1039,3,male,22.0,0,0,8.05,S,0
1040,1,male,27.0,0,0,26.55,S,1
1041,2,male,30.0,1,1,26.0,S,0
1042,1,female,23.0,0,1,83.1583,C,1
1043,3,male,27.0,0,0,7.8958,C,0
1044,3,male,60.5,0,0,14.4542,S,0
1045,3,female,36.0,0,2,12.1833,S,0
1046,3,male,13.0,4,2,31.3875,S,0
1047,3,male,24.0,0,0,7.55,S,0
1048,1,female,29.0,0,0,221.7792,S,1
1049,3,female,23.0,0,0,7.8542,S,0
1050,1,male,42.0,0,0,26.55,S,1
1051,3,female,26.0,0,2,13.775,S,0
1052,3,female,27.0,0,0,7.7333,Q,0
1053,3,male,7.0,1,1,15.2458,C,0
1054,2,female,26.0,0,0,13.5,S,0
1055,3,male,27.0,0,0,7.0,S,0
1056,2,male,41.0,0,0,13.0,S,0
1057,3,female,26.0,1,1,22.025,S,0
1058,1,male,48.0,0,0,50.4958,C,1
1059,3,male,18.0,2,2,34.375,S,0
1060,1,female,27.0,0,0,27.7208,C,1
1061,3,female,22.0,0,0,8.9625,S,0
1062,3,male,27.0,0,0,7.55,S,0
1063,3,male,27.0,0,0,7.225,C,0
1064,3,male,23.0,1,0,13.9,S,0
1065,3,male,27.0,0,0,7.2292,C,0
1066,3,male,40.0,1,5,31.3875,S,0
1067,2,female,15.0,0,2,39.0,S,1
1068,2,female,20.0,0,0,36.75,S,1
1069,1,male,54.0,1,0,55.4417,C,0
1070,2,female,36.0,0,3,39.0,S,1
1071,1,female,64.0,0,2,83.1583,C,1
1072,2,male,30.0,0,0,13.0,S,0
1073,1,male,37.0,1,1,83.1583,C,1
1074,1,female,18.0,1,0,53.1,S,1
1075,3,male,27.0,0,0,7.75,Q,0
1076,1,female,27.0,1,1,247.5208,C,1
1077,2,male,40.0,0,0,16.0,S,0
1078,2,female,21.0,0,1,21.0,S,1
1079,3,male,17.0,2,0,8.05,S,0
1080,3,female,27.0,8,2,69.55,S,0
1081,2,male,40.0,0,0,13.0,S,0
1082,2,male,34.0,1,0,26.0,S,0
1083,1,male,27.0,0,0,26.0,S,1
1084,3,male,11.5,1,1,14.5,S,0
1085,2,male,61.0,0,0,12.35,Q,0
1086,2,male,8.0,0,2,32.5,S,1
1087,3,male,33.0,0,0,7.8542,S,0
1088,1,male,6.0,0,2,134.5,C,1
1089,3,female,18.0,0,0,7.775,S,0
1090,2,male,23.0,0,0,10.5,S,0
1091,3,female,27.0,0,0,8.1125,S,0
1092,3,female,27.0,0,0,15.5,Q,0
1093,3,male,0.33,0,2,14.4,S,1
1094,1,male,47.0,1,0,227.525,C,1
1095,2,female,8.0,1,1,26.0,S,1
1096,2,male,25.0,0,0,10.5,S,0
1097,1,male,27.0,0,0,25.7417,C,1
1098,3,female,35.0,0,0,7.75,Q,0
1099,2,male,24.0,0,0,10.5,S,0
1100,1,female,33.0,0,0,27.7208,C,1
1101,3,male,25.0,0,0,7.8958,S,0
1102,3,male,32.0,0,0,22.525,S,0
1103,3,male,27.0,0,0,7.05,S,0
1104,2,male,17.0,0,0,73.5,S,1
1105,2,female,60.0,1,0,26.0,S,0
1106,3,female,38.0,4,2,7.775,S,0
1107,1,male,42.0,0,0,42.5,S,1
1108,3,female,27.0,0,0,7.8792,Q,0
1109,1,male,57.0,1,1,164.8667,S,1
1110,1,female,50.0,1,1,211.5,C,1
1111,3,male,27.0,0,0,8.05,S,0
1112,2,female,30.0,1,0,13.8583,C,0
1113,3,male,21.0,0,0,8.05,S,0
1114,2,female,22.0,0,0,10.5,S,0
1115,3,male,21.0,0,0,7.7958,S,0
1116,1,female,53.0,0,0,27.4458,C,0
1117,3,female,27.0,0,2,15.2458,C,0
1118,3,male,23.0,0,0,7.7958,S,0
1119,3,female,27.0,0,0,7.75,Q,0
1120,3,male,40.5,0,0,15.1,S,0
1121,2,male,36.0,0,0,13.0,S,0
1122,2,male,14.0,0,0,65.0,S,1
1123,1,female,21.0,0,0,26.55,S,1
1124,3,male,21.0,1,0,6.4958,S,0
1125,3,male,27.0,0,0,7.8792,Q,0
1126,1,male,39.0,1,0,71.2833,C,1
1127,3,male,20.0,0,0,7.8542,S,0
1128,1,male,64.0,1,0,75.25,C,0
1129,3,male,20.0,0,0,7.225,C,0
1130,2,female,18.0,1,1,13.0,S,0
1131,1,female,48.0,1,0,106.425,C,1
1132,1,female,55.0,0,0,27.7208,C,0
1133,2,female,45.0,0,2,30.0,S,0
1134,1,male,45.0,1,1,134.5,C,1
1135,3,male,27.0,0,0,7.8875,S,0
1136,3,male,27.0,1,2,23.45,S,0
1137,1,male,41.0,1,0,51.8625,S,1
1138,2,female,22.0,0,0,21.0,S,0
1139,2,male,42.0,1,1,32.5,S,0
1140,2,female,29.0,1,0,26.0,S,0
1141,3,female,27.0,1,0,14.4542,C,0
1142,2,female,0.92,1,2,27.75,S,1
1143,3,male,20.0,0,0,7.925,S,0
1144,1,male,27.0,1,0,136.7792,C,1
1145,3,male,24.0,0,0,9.325,S,0
1146,3,male,32.5,0,0,9.5,S,0
1147,3,male,27.0,0,0,7.55,S,0
1148,3,male,27.0,0,0,7.75,Q,0
1149,3,male,28.0,0,0,8.05,S,0
1150,2,female,19.0,0,0,13.0,S,0
1151,3,male,21.0,0,0,7.775,S,0
1152,3,male,36.5,1,0,17.4,S,0
1153,3,male,21.0,0,0,7.8542,S,0
1154,2,female,29.0,0,2,23.0,S,1
1155,3,female,1.0,1,1,12.1833,S,0
1156,2,male,30.0,0,0,12.7375,C,0
1157,3,male,27.0,0,0,7.8958,S,0
1158,1,male,27.0,0,0,0.0,S,1
1159,3,male,27.0,0,0,7.55,S,0
1160,3,female,27.0,0,0,8.05,S,0
1161,3,male,17.0,0,0,8.6625,S,0
1162,1,male,46.0,0,0,75.2417,C,1
1163,3,male,27.0,0,0,7.75,Q,0
1164,1,female,26.0,1,0,136.7792,C,1
1165,3,female,27.0,1,0,15.5,Q,0
1166,3,male,27.0,0,0,7.225,C,0
1167,2,female,20.0,1,0,26.0,S,0
1168,2,male,28.0,0,0,10.5,S,0
1169,2,male,40.0,1,0,26.0,S,0
1170,2,male,30.0,1,0,21.0,S,0
1171,2,male,22.0,0,0,10.5,S,0
1172,3,female,23.0,0,0,8.6625,S,0
1173,3,male,0.75,1,1,13.775,S,0
1174,3,female,27.0,0,0,7.75,Q,0
1175,3,female,9.0,1,1,15.2458,C,0
1176,3,female,2.0,1,1,20.2125,S,0
1177,3,male,36.0,0,0,7.25,S,0
1178,3,male,27.0,0,0,7.25,S,0
1179,1,male,24.0,1,0,82.2667,S,1
1180,3,male,27.0,0,0,7.2292,C,0
1181,3,male,27.0,0,0,8.05,S,0
1182,1,male,27.0,0,0,39.6,S,1
1183,3,female,30.0,0,0,6.95,Q,0
1184,3,male,27.0,0,0,7.2292,C,0
1185,1,male,53.0,1,1,81.8583,S,1
1186,3,male,36.0,0,0,9.5,S,0
1187,3,male,26.0,0,0,7.8958,S,0
1188,2,female,1.0,1,2,41.5792,C,1
1189,3,male,27.0,2,0,21.6792,C,0
1190,1,male,30.0,0,0,45.5,S,1
1191,3,male,29.0,0,0,7.8542,S,0
1192,3,male,32.0,0,0,7.775,S,0
1193,2,male,27.0,0,0,15.0458,C,0
1194,2,male,43.0,0,1,21.0,S,0
1195,3,male,24.0,0,0,8.6625,S,0
1196,3,female,27.0,0,0,7.75,Q,0
1197,1,female,64.0,1,1,26.55,S,0
1198,1,male,30.0,1,2,151.55,S,1
1199,3,male,0.83,0,1,9.35,S,0
1200,1,male,55.0,1,1,93.5,S,1
1201,3,female,45.0,1,0,14.1083,S,0
1202,3,male,18.0,0,0,8.6625,S,0
1203,3,male,22.0,0,0,7.225,C,0
1204,3,male,27.0,0,0,7.575,S,0
1205,3,female,37.0,0,0,7.75,Q,0
1206,1,female,55.0,0,0,135.6333,C,1
1207,3,female,17.0,0,0,7.7333,Q,0
1208,1,male,57.0,1,0,146.5208,C,1
1209,2,male,19.0,0,0,10.5,S,0
1210,3,male,27.0,0,0,7.8542,S,0
1211,2,male,22.0,2,0,31.5,S,0
1212,3,male,26.0,0,0,7.775,S,0
1213,3,male,25.0,0,0,7.2292,C,0
1214,2,male,26.0,0,0,13.0,S,0
1215,1,male,33.0,0,0,26.55,S,1
1216,1,female,39.0,0,0,211.3375,S,1
1217,3,male,23.0,0,0,7.05,S,0
1218,2,female,12.0,2,1,39.0,S,1
1219,1,male,46.0,0,0,79.2,C,1
1220,2,male,29.0,1,0,26.0,S,0
1221,2,male,21.0,0,0,13.0,S,0
1222,2,female,48.0,0,2,36.75,S,0
1223,1,male,39.0,0,0,29.7,C,1
1224,3,male,27.0,0,0,7.225,C,0
1225,3,female,19.0,1,1,15.7417,C,0
1226,3,male,27.0,0,0,7.8958,S,0
1227,1,male,30.0,0,0,26.0,S,1
1228,2,male,32.0,0,0,13.0,S,0
1229,3,male,39.0,0,2,7.2292,C,0
1230,2,male,25.0,0,0,31.5,S,0
1231,3,male,27.0,0,0,7.2292,C,0
1232,2,male,18.0,0,0,10.5,S,1
1233,3,male,32.0,0,0,7.5792,S,0
1234,3,male,27.0,1,9,69.55,S,1
1235,1,female,58.0,0,1,512.3292,C,1
1236,3,male,27.0,1,1,14.5,S,0
1237,3,female,16.0,0,0,7.65,S,0
1238,2,male,26.0,0,0,13.0,S,0
1239,3,female,38.0,0,0,7.2292,C,0
1240,2,male,24.0,0,0,13.5,S,0
1241,2,female,31.0,0,0,21.0,S,0
1242,1,female,45.0,0,1,63.3583,C,1
1243,2,male,25.0,0,0,10.5,S,0
1244,2,male,18.0,0,0,73.5,S,1
1245,2,male,49.0,1,2,65.0,S,0
1246,3,female,0.17,1,2,20.575,S,1
1247,1,male,50.0,0,0,26.0,S,0
1248,1,female,59.0,2,0,51.4792,S,0
1249,3,male,27.0,0,0,7.8792,S,0
1250,3,male,27.0,0,0,7.75,Q,0
1251,3,female,30.0,1,0,15.55,S,0
1252,3,male,14.5,8,2,69.55,S,0
1253,2,female,24.0,1,1,37.0042,C,0
1254,2,female,31.0,0,0,21.0,S,0
1255,3,male,27.0,0,0,8.6625,S,0
1256,1,female,25.0,1,0,55.4417,C,1
1257,3,female,27.0,1,9,69.55,S,1
1258,3,male,27.0,1,0,14.4583,C,0
1259,3,female,22.0,0,0,39.6875,S,0
1260,1,female,45.0,0,1,59.4,C,1
1261,2,male,29.0,0,0,13.8583,C,0
1262,2,male,21.0,1,0,11.5,S,0
1263,1,female,31.0,0,0,134.5,C,1
1264,1,male,49.0,0,0,0.0,S,0
1265,2,male,44.0,0,0,13.0,S,0
1266,1,female,54.0,1,1,81.8583,S,1
1267,1,female,45.0,0,0,262.375,C,1
1268,3,female,22.0,2,0,8.6625,S,0
1269,2,male,21.0,0,0,11.5,S,0
1270,1,male,55.0,0,0,50.0,S,0
1271,3,male,5.0,4,2,31.3875,S,0
1272,3,male,27.0,0,0,7.75,Q,0
1273,3,male,26.0,0,0,7.8792,Q,0
1274,3,female,27.0,0,0,14.5,S,0
1275,3,female,19.0,1,0,16.1,S,0
1276,2,male,27.0,0,0,12.875,S,0
1277,2,female,24.0,1,2,65.0,S,1
1278,3,male,24.0,0,0,7.775,S,0
1279,2,male,57.0,0,0,13.0,S,0
1280,3,male,21.0,0,0,7.75,Q,0
1281,3,male,6.0,3,1,21.075,S,0
1282,1,male,23.0,0,0,93.5,S,1
1283,1,female,51.0,0,1,39.4,S,1
1284,3,male,13.0,0,2,20.25,S,0
1285,2,male,47.0,0,0,10.5,S,0
1286,3,male,29.0,3,1,22.025,S,0
1287,1,female,18.0,1,0,60.0,S,1
1288,3,male,24.0,0,0,7.25,Q,0
1289,1,female,48.0,1,1,79.2,C,1
1290,3,male,22.0,0,0,7.775,S,0
1291,3,male,31.0,0,0,7.7333,Q,0
1292,1,female,30.0,0,0,164.8667,S,1
1293,2,male,38.0,1,0,21.0,S,0
1294,1,female,22.0,0,1,59.4,C,1
1295,1,male,17.0,0,0,47.1,S,1
1296,1,male,43.0,1,0,27.7208,C,0
1297,2,male,20.0,0,0,13.8625,C,0
1298,2,male,23.0,1,0,10.5,S,0
1299,1,male,50.0,1,1,211.5,C,1
1300,3,female,27.0,0,0,7.7208,Q,0
1301,3,female,3.0,1,1,13.775,S,0
1302,3,female,27.0,0,0,7.75,Q,0
1303,1,female,37.0,1,0,90.0,Q,1
1304,3,female,28.0,0,0,7.775,S,0
1305,3,male,27.0,0,0,8.05,S,0
1306,1,female,39.0,0,0,108.9,C,1
1307,3,male,38.5,0,0,7.25,S,0
1308,3,male,27.0,0,0,8.05,S,0
1309,3,male,27.0,1,1,22.3583,C,0
