,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,MaleCheck,Sozinho,Familiares,Embarked
64,65,0,1,0.0,0,0,0.5745703693437738,1,1,0,1
65,66,1,3,0.0,1,1,0.03428383341417777,1,0,2,1
66,67,1,2,0.07692307692307693,0,0,-0.1712545908114476,0,1,0,0
67,68,0,3,-0.6923076923076923,0,0,-0.27267254521516177,1,1,0,0
68,69,1,3,-0.8461538461538461,4,2,-0.2827766613540295,0,0,6,0
69,70,0,3,-0.15384615384615385,2,0,-0.2508358741597949,1,0,2,0
70,71,0,2,0.3076923076923077,0,0,-0.1712545908114476,1,1,0,0
71,72,0,3,-0.9230769230769231,5,2,1.405212736470099,0,0,7,0
72,73,0,2,-0.5384615384615384,0,0,2.55724655256046,1,1,0,0
73,74,0,3,-0.15384615384615385,1,0,0.0,1,0,1,1
74,75,1,3,0.3076923076923077,0,0,1.8208024391934032,1,1,0,0
75,76,0,3,-0.23076923076923078,0,0,-0.29468678539255766,1,1,0,0
76,77,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
77,78,0,3,0.0,0,0,-0.277362968609244,1,1,0,0
78,79,1,2,-2.0900000000000003,0,2,0.629971935416811,1,0,2,0
79,80,1,3,0.15384615384615385,0,0,-0.0857182454438362,0,1,0,0
80,81,0,3,-0.46153846153846156,0,0,-0.23621890374887394,1,1,0,0
81,82,1,3,0.07692307692307693,0,0,-0.21456413276973182,1,1,0,0
82,83,1,3,0.0,0,0,-0.2887317233732936,0,1,0,2
83,84,0,1,0.0,0,0,1.4138746448617558,1,1,0,0
84,85,1,2,-0.8461538461538461,0,0,-0.1712545908114476,0,1,0,0
85,86,1,3,0.38461538461538464,3,0,0.06045145866537313,0,0,3,0
86,87,0,3,-0.9230769230769231,1,3,0.8627607234425888,1,0,4,0
87,88,0,3,0.0,0,0,-0.277362968609244,1,1,0,0
88,89,1,1,-0.38461538461538464,3,2,10.764404753655324,0,0,5,0
89,90,0,3,-0.3076923076923077,0,0,-0.277362968609244,1,1,0,0
90,91,0,3,0.07692307692307693,0,0,-0.277362968609244,1,1,0,0
91,92,0,3,-0.6153846153846154,0,0,-0.2858429769246761,1,1,0,0
92,93,0,1,1.3846153846153846,1,0,2.0234564479246067,1,0,1,0
93,94,0,3,-0.15384615384615385,1,2,0.2650890444182662,1,0,3,0
94,95,0,3,2.3846153846153846,0,0,-0.3120106021758714,1,1,0,0
95,96,0,3,0.0,0,0,-0.277362968609244,1,1,0,0
96,97,0,1,3.3076923076923075,0,0,0.8748527475573419,1,1,0,1
97,98,1,1,-0.38461538461538464,0,1,2.1180141708821285,1,0,1,1
98,99,1,2,0.46153846153846156,0,1,0.37011468366710554,0,0,1,0
99,100,0,2,0.46153846153846156,1,0,0.5000433095419583,1,0,1,0
100,101,0,3,0.0,0,0,-0.2840412999792114,0,1,0,0
101,102,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
102,103,0,1,-0.5384615384615384,0,1,2.721281442727461,1,0,1,0
103,104,0,3,0.38461538461538464,0,0,-0.25119534335804866,1,1,0,0
104,105,0,3,0.6923076923076923,2,0,-0.2827766613540295,1,0,2,0
105,106,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
106,107,1,3,-0.5384615384615384,0,0,-0.29468678539255766,0,1,0,0
107,108,1,3,0.0,0,0,-0.2892730926477721,1,1,0,0
108,109,0,3,0.7692307692307693,0,0,-0.2840412999792114,1,1,0,0
109,110,1,3,0.0,1,0,0.41992065691913233,0,0,1,2
110,111,0,1,1.4615384615384615,0,0,1.6260914004573488,1,1,0,0
111,112,0,3,-1.0384615384615385,1,0,0.0,0,0,1,1
112,113,0,3,-0.46153846153846156,0,0,-0.277362968609244,1,1,0,0
113,114,0,3,-0.6153846153846154,1,0,-0.20048853163328947,0,0,1,0
114,115,0,3,-0.8461538461538461,0,0,0.00017756912202893625,0,1,0,1
115,116,0,3,-0.5384615384615384,0,0,-0.2827766613540295,1,1,0,0
116,117,0,3,3.269230769230769,0,0,-0.29035583119672925,1,1,0,2
117,118,0,2,0.07692307692307693,1,0,0.283495599750537,1,0,1,0
118,119,0,1,-0.3076923076923077,0,1,10.094007691774651,1,0,1,1
119,120,0,3,-2.0,4,2,0.7285011433719076,0,0,6,0
120,121,0,2,-0.5384615384615384,2,0,2.55724655256046,1,0,2,0
121,122,0,3,0.0,0,0,-0.277362968609244,1,1,0,0
122,123,0,2,0.34615384615384615,1,0,0.6763477929457417,1,0,1,1
123,124,1,2,0.34615384615384615,0,0,-0.06298073591573695,0,1,0,0
124,125,0,1,2.0,0,1,2.721281442727461,1,0,1,0
125,126,1,3,-1.2307692307692308,1,0,-0.13913190354098817,1,0,1,1
126,127,0,3,0.0,0,0,-0.29035583119672925,1,1,0,2
127,128,1,3,-0.3076923076923077,0,0,-0.31670102556995355,1,1,0,0
128,129,1,3,0.0,1,1,0.34232295059247453,0,0,2,1
129,130,0,3,1.3076923076923077,0,0,-0.32392072621439955,1,1,0,0
130,131,0,3,0.38461538461538464,0,0,-0.2840412999792114,1,1,0,1
131,132,0,3,-0.6153846153846154,0,0,-0.32067251056752827,1,1,0,0
132,133,0,3,1.4615384615384615,1,0,0.001983577021689412,0,0,1,0
133,134,1,2,0.07692307692307693,1,0,0.5000433095419583,0,0,1,0
134,135,0,2,-0.23076923076923078,0,0,-0.06298073591573695,1,1,0,0
135,136,0,2,-0.38461538461538464,0,0,0.025621925022520947,1,1,0,1
136,137,1,1,-0.6923076923076923,0,2,0.5123129027787402,0,0,2,0
137,138,0,1,0.6923076923076923,1,0,1.6737318966114614,1,0,1,0
138,139,0,3,-0.9230769230769231,0,0,-0.22683372600651378,1,1,0,0
139,140,0,1,-0.3076923076923077,0,0,2.8041109417226804,1,1,0,1
140,141,0,3,0.0,0,2,0.03428383341417777,0,0,2,1
141,142,1,3,-0.46153846153846156,0,0,-0.29035583119672925,0,1,0,0
142,143,1,3,-0.3076923076923077,1,0,0.06045145866537313,0,0,1,0
143,144,0,3,-0.6923076923076923,0,0,-0.3336653731550135,1,1,0,2
144,145,0,2,-0.7692307692307693,0,0,-0.12794504885316332,1,1,0,0
145,146,0,2,-0.6923076923076923,1,1,0.9656208855935139,1,0,2,0
146,147,1,3,-0.07692307692307693,0,0,-0.28837225417503987,1,1,0,0
147,148,0,3,-1.4615384615384615,2,2,0.8627607234425888,0,0,4,0
148,149,0,2,0.6538461538461539,0,2,0.5000433095419583,1,0,2,0
149,150,0,2,1.0769230769230769,0,0,-0.06298073591573695,1,1,0,0
150,151,0,2,1.7692307692307692,0,0,-0.08355276834592196,1,1,0,0
151,152,1,1,-0.46153846153846156,1,0,2.2584107130482987,0,0,1,0
152,153,0,3,2.1153846153846154,0,0,-0.277362968609244,1,1,0,0
153,154,0,3,0.9615384615384616,0,2,0.001983577021689412,1,0,2,0
154,155,0,3,0.0,0,0,-0.30930375580347863,1,1,0,0
155,156,0,1,1.7692307692307692,0,1,2.0323002563924883,1,0,1,1
156,157,1,3,-0.9230769230769231,0,0,-0.29107910054743263,0,1,0,2
157,158,0,3,0.15384615384615385,0,0,-0.277362968609244,1,1,0,0
158,159,0,3,0.0,0,0,-0.2508358741597949,1,1,0,0
159,160,0,3,0.0,8,2,2.3861738618252373,1,0,10,0
160,161,0,3,1.2307692307692308,0,1,0.07127884415494427,1,0,1,0
161,162,1,2,0.9230769230769231,0,0,0.056120504469544724,0,1,0,0
162,163,0,3,-0.15384615384615385,0,0,-0.2892730926477721,1,1,0,0
163,164,0,3,-0.8461538461538461,0,0,-0.2508358741597949,1,1,0,0
164,165,0,3,-2.076923076923077,4,1,1.092842665095974,1,0,5,0
165,166,1,3,-1.4615384615384615,0,2,0.26292356732035194,1,0,2,0
166,167,1,1,0.0,0,1,1.7560200263322014,0,0,1,0
167,168,0,3,1.3076923076923077,1,4,0.5823314392626983,0,0,5,0
168,169,0,1,0.0,0,0,0.49679509389508697,1,1,0,0
169,170,0,3,0.0,0,0,1.8208024391934032,1,1,0,0
170,171,0,1,2.5384615384615383,0,0,0.8248648742290902,1,1,0,0
171,172,0,3,-1.8461538461538463,4,1,0.6353856281615965,1,0,5,2
172,173,1,3,-2.076923076923077,1,1,-0.14382665788926616,0,0,2,0
173,174,0,3,-0.5384615384615384,0,0,-0.2827766613540295,1,1,0,0
174,175,0,1,2.1538461538461537,0,0,0.7034162566696693,1,1,0,1
175,176,0,3,-0.7692307692307693,1,1,-0.2858429769246761,1,0,2,0
176,177,0,3,0.0,3,1,0.4769463308156052,1,0,4,0
177,178,0,1,1.6923076923076923,0,0,0.6175204421038042,0,1,0,1
178,179,0,2,0.15384615384615385,0,0,-0.06298073591573695,1,1,0,0
179,180,0,3,0.6153846153846154,0,0,-0.6260047813734322,1,1,0,0
180,181,0,3,0.0,8,2,2.3861738618252373,0,0,10,0
181,182,0,2,0.0,0,0,0.025803825098745778,1,1,0,1
182,183,0,3,-1.4615384615384615,4,2,0.7333734668422146,1,0,6,0
183,184,1,2,-2.076923076923077,2,1,1.0630673549996534,1,0,3,0
184,185,1,3,-1.8461538461538463,0,2,0.3278878802577783,0,0,2,0
185,186,0,1,0.0,0,0,1.5394723165407802,1,1,0,0
186,187,1,3,0.0,1,0,0.04529311897997366,0,0,1,2
187,188,1,1,1.3076923076923077,0,0,0.5238635576190146,1,1,0,0
188,189,0,3,0.9230769230769231,1,1,0.04529311897997366,1,0,2,2
189,190,0,3,0.6153846153846154,0,0,-0.2840412999792114,1,1,0,0
190,191,1,2,0.3076923076923077,0,0,-0.06298073591573695,0,1,0,0
191,192,0,2,-0.6923076923076923,0,0,-0.06298073591573695,1,1,0,0
192,193,1,3,-0.6923076923076923,1,0,-0.2858429769246761,0,0,1,0
193,194,1,2,-1.9230769230769231,1,1,0.5000433095419583,1,0,2,0
194,195,1,1,1.2307692307692308,0,0,0.5745703693437738,0,1,0,1
195,196,1,1,2.3076923076923075,0,0,5.719743953987942,0,1,0,1
196,197,0,3,0.0,0,0,-0.29035583119672925,1,1,0,2
197,198,0,3,1.0769230769230769,0,1,-0.26202272884761973,1,0,1,0
198,199,1,3,0.0,0,0,-0.29035583119672925,0,1,0,2
199,200,0,2,-0.3076923076923077,0,0,-0.06298073591573695,0,1,0,0
200,201,0,3,0.0,0,0,-0.21456413276973182,1,1,0,0
201,202,0,3,0.0,8,2,2.3861738618252373,1,0,10,0
202,203,0,3,0.46153846153846156,0,0,-0.3446746587208094,1,1,0,0
203,204,0,3,1.3461538461538463,0,0,-0.31309334072482853,1,1,0,1
204,205,1,3,-0.7692307692307693,0,0,-0.277362968609244,1,1,0,0
205,206,0,3,-2.0,0,1,-0.17287869863488323,0,0,1,0
206,207,0,3,0.3076923076923077,1,0,0.06045145866537313,1,0,1,0
207,208,1,3,-0.15384615384615385,0,0,0.18767323816783318,1,1,0,1
208,209,1,3,-0.9230769230769231,0,0,-0.29035583119672925,0,1,0,2
209,210,1,1,0.9230769230769231,0,0,0.7165910193333795,1,1,0,1
210,211,0,3,-0.3076923076923077,0,0,-0.32067251056752827,1,1,0,0
211,212,1,2,0.5384615384615384,0,0,0.283495599750537,0,1,0,0
212,213,0,3,-0.46153846153846156,0,0,-0.3120106021758714,1,1,0,0
213,214,0,2,0.15384615384615385,0,0,-0.06298073591573695,1,1,0,0
214,215,0,3,0.0,1,0,-0.29035583119672925,1,0,1,2
215,216,1,1,0.23076923076923078,1,0,4.279883583951216,0,0,1,1
216,217,1,3,-0.07692307692307693,0,0,-0.2827766613540295,0,1,0,0
217,218,0,2,1.0769230769230769,1,0,0.5433528515002425,1,0,1,0
218,219,1,1,0.3076923076923077,0,0,2.6781538008454024,0,1,0,1
219,220,0,2,0.15384615384615385,0,0,-0.1712545908114476,1,1,0,0
220,221,1,3,-0.9230769230769231,0,0,-0.277362968609244,1,1,0,0
221,222,0,2,-0.07692307692307693,0,0,-0.06298073591573695,1,1,0,0
222,223,0,3,1.7692307692307692,0,0,-0.277362968609244,1,1,0,0
223,224,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
224,225,1,1,0.7692307692307693,1,0,3.27185399487215,1,0,1,0
225,226,0,3,-0.46153846153846156,0,0,-0.2210605640634745,1,1,0,0
226,227,1,2,-0.6923076923076923,0,0,-0.1712545908114476,1,1,0,0
227,228,0,3,-0.5769230769230769,0,0,-0.3120106021758714,1,1,0,0
228,229,0,2,-0.7692307692307693,0,0,-0.06298073591573695,1,1,0,0
229,230,0,3,0.0,3,1,0.4769463308156052,0,0,4,0
230,231,1,1,0.5384615384615384,1,0,2.9892592335943453,0,0,1,0
231,232,0,3,0.07692307692307693,0,0,-0.2892730926477721,1,1,0,0
232,233,0,2,2.3846153846153846,0,0,-0.041325964936594836,1,1,0,0
233,234,1,3,-1.7692307692307692,4,2,0.7333734668422146,0,0,6,0
234,235,0,2,-0.3076923076923077,0,0,-0.1712545908114476,1,1,0,0
235,236,0,3,0.0,0,0,-0.2990177395883861,0,1,0,0
236,237,0,2,1.2307692307692308,1,0,0.5000433095419583,1,0,1,0
237,238,1,2,-1.5384615384615385,0,2,0.5108706950315294,0,0,2,0
238,239,0,2,-0.6923076923076923,0,0,-0.1712545908114476,1,1,0,0
239,240,0,2,0.38461538461538464,0,0,-0.09438015383549303,1,1,0,0
240,241,0,3,0.0,1,0,0.0,0,0,1,1
241,242,1,3,0.0,1,0,0.04529311897997366,0,0,1,2
242,243,0,2,0.07692307692307693,0,0,-0.1712545908114476,1,1,0,0
243,244,0,3,-0.46153846153846156,0,0,-0.31742429492065694,1,1,0,0
244,245,0,3,0.15384615384615385,0,0,-0.31309334072482853,1,1,0,1
245,246,0,1,1.2307692307692308,2,0,3.27185399487215,1,0,2,2
246,247,0,3,-0.23076923076923078,0,0,-0.2892730926477721,0,1,0,0
247,248,1,2,-0.3076923076923077,0,2,0.001983577021689412,0,0,2,0
248,249,1,1,0.6923076923076923,1,1,1.6500935486106298,1,0,2,0
249,250,0,2,2.0,1,0,0.5000433095419583,1,0,1,0
250,251,0,3,0.0,0,0,-0.3120106021758714,1,1,0,0
251,252,0,3,0.07692307692307693,1,1,-0.17287869863488323,0,0,2,0
252,253,0,1,2.6153846153846154,0,0,0.5238635576190146,1,1,0,0
253,254,0,3,0.15384615384615385,1,0,0.07127884415494427,1,0,1,0
254,255,0,3,1.0,0,2,0.24938933545838812,0,0,2,0
255,256,1,3,0.07692307692307693,0,2,0.03428383341417777,0,0,2,1
256,257,1,1,0.0,0,0,2.8041109417226804,0,1,0,1
257,258,1,1,0.15384615384615385,0,0,3.120270598018155,0,1,0,0
258,259,1,1,0.5384615384615384,0,0,21.56273820248077,0,1,0,1
259,260,1,2,1.6923076923076923,0,1,0.5000433095419583,0,0,1,0
260,261,0,3,0.0,0,0,-0.29035583119672925,1,1,0,2
261,262,1,3,-1.9230769230769231,4,2,0.7333734668422146,1,0,6,0
262,263,0,1,1.8461538461538463,1,1,2.8236002356039083,1,0,2,0
263,264,0,1,0.9230769230769231,0,0,-0.6260047813734322,1,1,0,0
264,265,0,3,0.0,0,0,-0.29035583119672925,0,1,0,2
265,266,0,2,0.6153846153846154,0,0,-0.1712545908114476,1,1,0,0
266,267,0,3,-0.9230769230769231,4,1,1.092842665095974,1,0,5,0
267,268,1,3,-0.23076923076923078,1,0,-0.2892730926477721,1,0,1,0
268,269,1,1,2.3076923076923075,0,1,6.020385801399765,0,0,1,0
269,270,1,1,0.5384615384615384,0,0,5.248211315917122,0,1,0,0
270,271,0,1,0.0,0,0,0.7165910193333795,1,1,0,0
271,272,1,3,-0.23076923076923078,0,0,-0.6260047813734322,1,1,0,0
272,273,1,2,1.0,0,1,0.21853128681311065,0,0,1,0
273,274,0,1,0.6923076923076923,0,1,0.6602886147876099,1,0,1,1
274,275,1,3,0.0,0,0,-0.29035583119672925,0,1,0,2
275,276,1,1,2.6923076923076925,1,0,2.7503334834730784,0,0,1,0
276,277,0,3,1.3076923076923077,0,0,-0.29035583119672925,0,1,0,0
277,278,0,2,0.0,0,0,-0.6260047813734322,1,1,0,0
278,279,0,3,-1.6153846153846154,4,1,0.6353856281615965,1,0,5,2
279,280,1,3,0.5384615384615384,1,1,0.25101344328182384,0,0,2,0
280,281,0,3,2.8461538461538463,0,0,-0.29035583119672925,1,1,0,2
281,282,0,3,0.0,0,0,-0.2858429769246761,1,1,0,0
282,283,0,3,-0.9230769230769231,0,0,-0.21456413276973182,1,1,0,0
283,284,1,3,-0.6923076923076923,0,0,-0.277362968609244,1,1,0,0
284,285,0,1,0.0,0,0,0.5000433095419583,1,1,0,0
285,286,0,3,0.38461538461538464,0,0,-0.2508358741597949,1,1,0,1
286,287,1,3,0.15384615384615385,0,0,-0.21456413276973182,1,1,0,0
287,288,0,3,-0.46153846153846156,0,0,-0.2840412999792114,1,1,0,0
288,289,1,2,1.0769230769230769,0,0,-0.06298073591573695,1,1,0,0
289,290,1,3,-0.46153846153846156,0,0,-0.29035583119672925,0,1,0,2
290,291,1,1,-0.15384615384615385,0,0,2.7889526020372806,0,1,0,0
291,292,1,1,-0.6923076923076923,1,0,3.3185936525535307,0,0,1,1
292,293,0,2,0.6153846153846154,0,0,-0.06839442866052249,1,1,0,1
293,294,0,3,-0.3076923076923077,0,0,-0.2427153350426166,0,1,0,0
294,295,0,3,-0.3076923076923077,0,0,-0.2840412999792114,1,1,0,0
295,296,0,1,0.0,0,0,0.5745703693437738,1,1,0,1
296,297,0,3,-0.34615384615384615,0,0,-0.3129114406486037,1,1,0,1
297,298,0,1,-2.0,1,2,5.937556302404546,0,0,3,0
298,299,1,1,0.0,0,0,0.6949362483542374,1,1,0,0
299,300,1,1,1.6923076923076923,0,1,10.094007691774651,0,0,1,1
300,301,1,3,0.0,0,0,-0.29035583119672925,0,1,0,2
301,302,1,3,0.0,2,0,0.38094206915667655,1,0,2,2
302,303,0,3,-0.6923076923076923,0,0,-0.6260047813734322,1,1,0,0
303,304,1,2,0.0,0,0,-0.09113193818862174,0,1,0,2
304,305,0,3,0.0,0,0,-0.277362968609244,1,1,0,0
305,306,1,1,-2.083076923076923,1,2,5.937556302404546,1,0,3,0
306,307,1,1,0.0,0,0,4.1763001524495875,0,1,0,1
307,308,1,1,-0.8461538461538461,1,0,4.090404337883722,0,0,1,1
308,309,0,2,0.15384615384615385,1,0,0.4134242256253898,1,0,1,1
309,310,1,1,0.15384615384615385,0,0,1.8395727946781235,0,1,0,1
310,311,1,1,-0.3076923076923077,0,0,2.9755431016561564,0,1,0,1
311,312,1,1,-0.7692307692307693,2,2,10.737336289931397,0,0,4,1
312,313,0,2,-0.15384615384615385,1,1,0.5000433095419583,0,0,2,0
313,314,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
314,315,0,2,1.1538461538461537,1,1,0.5108706950315294,1,0,2,0
315,316,1,3,-0.15384615384615385,0,0,-0.2858429769246761,0,1,0,0
316,317,1,2,-0.3076923076923077,1,0,0.5000433095419583,0,0,1,0
317,318,0,2,2.0,0,0,-0.01967119395745271,1,1,0,0
318,319,1,1,0.23076923076923078,0,2,6.51429647980043,0,0,2,0
319,320,1,1,0.9230769230769231,1,1,5.199128612015799,0,0,2,1
320,321,0,3,-0.46153846153846156,0,0,-0.3120106021758714,1,1,0,0
321,322,0,3,-0.07692307692307693,0,0,-0.2840412999792114,1,1,0,0
322,323,1,2,0.15384615384615385,0,0,-0.09113193818862174,0,1,0,2
323,324,1,2,-0.46153846153846156,1,1,0.629971935416811,0,0,2,0
324,325,0,3,0.0,8,2,2.3861738618252373,1,0,10,0
325,326,1,1,0.6153846153846154,0,0,5.248211315917122,0,1,0,1
326,327,0,3,2.5384615384615383,0,0,-0.35586151340863414,1,1,0,0
327,328,1,2,0.6153846153846154,0,0,-0.06298073591573695,0,1,0,0
328,329,1,3,0.23076923076923078,1,1,0.26292356732035194,0,0,2,0
329,330,1,1,-0.9230769230769231,0,1,1.8850478137343218,0,0,1,1
330,331,1,3,0.0,2,0,0.38094206915667655,0,0,2,2
331,332,0,1,1.3461538461538463,0,0,0.6083171644376689,1,1,0,0
332,333,0,1,0.7692307692307693,0,1,6.020385801399765,1,0,1,0
333,334,0,3,-0.9230769230769231,2,0,0.15356697387568427,1,0,2,0
334,335,1,1,0.0,1,0,5.162315501351258,0,0,1,0
335,336,0,3,0.0,0,0,-0.2840412999792114,1,1,0,0
336,337,0,1,0.07692307692307693,1,0,2.2584107130482987,1,0,1,0
337,338,1,1,1.0,0,0,5.199128612015799,0,1,0,1
338,339,1,3,1.3076923076923077,0,0,-0.277362968609244,1,1,0,0
339,340,0,1,1.3076923076923077,0,0,0.9114839581456586,1,1,0,0
340,341,1,2,-2.0,1,1,0.5000433095419583,1,0,2,0
341,342,1,1,-0.3076923076923077,3,2,10.764404753655324,0,0,5,0
342,343,0,2,0.0,0,0,-0.06298073591573695,1,1,0,0
343,344,0,2,-0.23076923076923078,0,0,-0.06298073591573695,1,1,0,0
344,345,0,2,0.6153846153846154,0,0,-0.06298073591573695,1,1,0,0
345,346,1,2,-0.3076923076923077,0,0,-0.06298073591573695,0,1,0,0
346,347,1,2,0.9230769230769231,0,0,-0.06298073591573695,0,1,0,0
347,348,1,3,0.0,1,0,0.07127884415494427,0,0,1,0
348,349,1,3,-1.9230769230769231,1,1,0.06261693576328738,1,0,2,0
349,350,0,3,1.0769230769230769,0,0,-0.2508358741597949,1,1,0,0
350,351,0,3,-0.38461538461538464,0,0,-0.22647425680826,1,1,0,0
351,352,0,1,0.0,0,0,0.8898291871665165,1,1,0,0
352,353,0,3,-1.0,1,1,-0.3129114406486037,1,0,2,1
353,354,0,3,-0.23076923076923078,1,0,0.14490506548402746,1,0,1,0
354,355,0,3,0.0,0,0,-0.31309334072482853,1,1,0,1
355,356,0,3,0.0,0,0,-0.21456413276973182,1,1,0,0
356,357,1,1,-0.46153846153846156,0,1,1.7560200263322014,0,0,1,0
357,358,0,2,0.7692307692307693,0,0,-0.06298073591573695,0,1,0,0
358,359,1,3,0.0,0,0,-0.28476023837571895,0,1,0,2
359,360,1,3,0.0,0,0,-0.28476023837571895,0,1,0,2
360,361,0,3,0.9230769230769231,1,4,0.5823314392626983,1,0,5,0
361,362,0,2,0.07692307692307693,1,0,0.5745703693437738,1,0,1,1
362,363,0,3,1.3076923076923077,0,1,0.0,0,0,1,1
363,364,0,3,0.5384615384615384,0,0,-0.32067251056752827,1,1,0,0
364,365,0,3,0.0,1,0,0.04529311897997366,1,0,1,2
365,366,0,3,0.15384615384615385,0,0,-0.3120106021758714,1,1,0,0
366,367,1,1,2.4615384615384617,1,0,2.6330382509874575,0,0,1,1
367,368,1,3,0.0,0,0,-0.3129114406486037,0,1,0,1
368,369,1,3,0.0,0,0,-0.29035583119672925,0,1,0,2
369,370,1,1,-0.3076923076923077,0,0,2.375346476335666,0,1,0,1
370,371,1,1,-0.23076923076923078,1,0,1.7751498510151755,1,0,1,1
371,372,0,3,-0.7692307692307693,1,0,-0.3446746587208094,1,0,1,0
