,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
43,935,2,female,30.0,0,0,13.0,S
44,936,1,female,45.0,1,0,52.5542,S
45,937,3,male,25.0,0,0,7.925,S
46,938,1,male,45.0,0,0,29.7,C
47,939,3,male,27.0,0,0,7.75,Q
48,940,1,female,60.0,0,0,76.2917,C
49,941,3,female,36.0,0,2,15.9,S
50,942,1,male,24.0,1,0,60.0,S
51,943,2,male,27.0,0,0,15.0333,C
52,944,2,female,20.0,2,1,23.0,S
53,945,1,female,28.0,3,2,263.0,S
54,946,2,male,27.0,0,0,15.5792,C
55,947,3,male,10.0,4,1,29.125,Q
56,948,3,male,35.0,0,0,7.8958,S
57,949,3,male,25.0,0,0,7.65,S
58,950,3,male,27.0,1,0,16.1,S
59,951,1,female,36.0,0,0,262.375,C
60,952,3,male,17.0,0,0,7.8958,S
61,953,2,male,32.0,0,0,13.5,S
62,954,3,male,18.0,0,0,7.75,S
63,955,3,female,22.0,0,0,7.725,Q
64,956,1,male,13.0,2,2,262.375,C
65,957,2,female,27.0,0,0,21.0,S
66,958,3,female,18.0,0,0,7.8792,Q
67,959,1,male,47.0,0,0,42.4,S
68,960,1,male,31.0,0,0,28.5375,C
69,961,1,female,60.0,1,4,263.0,S
70,962,3,female,24.0,0,0,7.75,Q
71,963,3,male,21.0,0,0,7.8958,S
72,964,3,female,29.0,0,0,7.925,S
73,965,1,male,28.5,0,0,27.7208,C
74,966,1,female,35.0,0,0,211.5,C
75,967,1,male,32.5,0,0,211.5,C
76,968,3,male,27.0,0,0,8.05,S
77,969,1,female,55.0,2,0,25.7,S
78,970,2,male,30.0,0,0,13.0,S
79,971,3,female,24.0,0,0,7.75,Q
80,972,3,male,6.0,1,1,15.2458,C
81,973,1,male,67.0,1,0,221.7792,S
82,974,1,male,49.0,0,0,26.0,S
83,975,3,male,27.0,0,0,7.8958,S
84,976,2,male,27.0,0,0,10.7083,Q
85,977,3,male,27.0,1,0,14.4542,C
86,978,3,female,27.0,0,0,7.8792,Q
87,979,3,female,18.0,0,0,8.05,S
88,980,3,female,27.0,0,0,7.75,Q
89,981,2,male,2.0,1,1,23.0,S
90,982,3,female,22.0,1,0,13.9,S
91,983,3,male,27.0,0,0,7.775,S
92,984,1,female,27.0,1,2,52.0,S
93,985,3,male,27.0,0,0,8.05,S
94,986,1,male,25.0,0,0,26.0,C
95,987,3,male,25.0,0,0,7.7958,S
96,988,1,female,76.0,1,0,78.85,S
97,989,3,male,29.0,0,0,7.925,S
98,990,3,female,20.0,0,0,7.8542,S
99,991,3,male,33.0,0,0,8.05,S
100,992,1,female,43.0,1,0,55.4417,C
101,993,2,male,27.0,1,0,26.0,S
102,994,3,male,27.0,0,0,7.75,Q
103,995,3,male,26.0,0,0,7.775,S
104,996,3,female,16.0,1,1,8.5167,C
105,997,3,male,28.0,0,0,22.525,S
106,998,3,male,21.0,0,0,7.8208,Q
107,999,3,male,27.0,0,0,7.75,Q
108,1000,3,male,27.0,0,0,8.7125,S
109,1001,2,male,18.5,0,0,13.0,S
110,1002,2,male,41.0,0,0,15.0458,C
111,1003,3,female,27.0,0,0,7.7792,Q
112,1004,1,female,36.0,0,0,31.6792,C
113,1005,3,female,18.5,0,0,7.2833,Q
114,1006,1,female,63.0,1,0,221.7792,S
115,1007,3,male,18.0,1,0,14.4542,C
116,1008,3,male,27.0,0,0,6.4375,C
117,1009,3,female,1.0,1,1,16.7,S
118,1010,1,male,36.0,0,0,75.2417,C
119,1011,2,female,29.0,1,0,26.0,S
120,1012,2,female,12.0,0,0,15.75,S
121,1013,3,male,27.0,1,0,7.75,Q
122,1014,1,female,35.0,1,0,57.75,C
123,1015,3,male,28.0,0,0,7.25,S
124,1016,3,male,27.0,0,0,7.75,Q
125,1017,3,female,17.0,0,1,16.1,S
126,1018,3,male,22.0,0,0,7.7958,S
127,1019,3,female,27.0,2,0,23.25,Q
128,1020,2,male,42.0,0,0,13.0,S
129,1021,3,male,24.0,0,0,8.05,S
130,1022,3,male,32.0,0,0,8.05,S
131,1023,1,male,53.0,0,0,28.5,C
132,1024,3,female,27.0,0,4,25.4667,S
133,1025,3,male,27.0,1,0,6.4375,C
134,1026,3,male,43.0,0,0,7.8958,S
135,1027,3,male,24.0,0,0,7.8542,S
136,1028,3,male,26.5,0,0,7.225,C
137,1029,2,male,26.0,0,0,13.0,S
138,1030,3,female,23.0,0,0,8.05,S
139,1031,3,male,40.0,1,6,46.9,S
140,1032,3,female,10.0,5,2,46.9,S
141,1033,1,female,33.0,0,0,151.55,S
142,1034,1,male,61.0,1,3,262.375,C
143,1035,2,male,28.0,0,0,26.0,S
144,1036,1,male,42.0,0,0,26.55,S
145,1037,3,male,31.0,3,0,18.0,S
146,1038,1,male,27.0,0,0,51.8625,S
147,1039,3,male,22.0,0,0,8.05,S
148,1040,1,male,27.0,0,0,26.55,S
149,1041,2,male,30.0,1,1,26.0,S
150,1042,1,female,23.0,0,1,83.1583,C
151,1043,3,male,27.0,0,0,7.8958,C
152,1044,3,male,60.5,0,0,14.4542,S
153,1045,3,female,36.0,0,2,12.1833,S
154,1046,3,male,13.0,4,2,31.3875,S
155,1047,3,male,24.0,0,0,7.55,S
156,1048,1,female,29.0,0,0,221.7792,S
157,1049,3,female,23.0,0,0,7.8542,S
158,1050,1,male,42.0,0,0,26.55,S
159,1051,3,female,26.0,0,2,13.775,S
160,1052,3,female,27.0,0,0,7.7333,Q
161,1053,3,male,7.0,1,1,15.2458,C
162,1054,2,female,26.0,0,0,13.5,S
163,1055,3,male,27.0,0,0,7.0,S
164,1056,2,male,41.0,0,0,13.0,S
165,1057,3,female,26.0,1,1,22.025,S
166,1058,1,male,48.0,0,0,50.4958,C
167,1059,3,male,18.0,2,2,34.375,S
168,1060,1,female,27.0,0,0,27.7208,C
169,1061,3,female,22.0,0,0,8.9625,S
170,1062,3,male,27.0,0,0,7.55,S
171,1063,3,male,27.0,0,0,7.225,C
172,1064,3,male,23.0,1,0,13.9,S
173,1065,3,male,27.0,0,0,7.2292,C
174,1066,3,male,40.0,1,5,31.3875,S
175,1067,2,female,15.0,0,2,39.0,S
176,1068,2,female,20.0,0,0,36.75,S
177,1069,1,male,54.0,1,0,55.4417,C
178,1070,2,female,36.0,0,3,39.0,S
179,1071,1,female,64.0,0,2,83.1583,C
180,1072,2,male,30.0,0,0,13.0,S
181,1073,1,male,37.0,1,1,83.1583,C
182,1074,1,female,18.0,1,0,53.1,S
183,1075,3,male,27.0,0,0,7.75,Q
184,1076,1,female,27.0,1,1,247.5208,C
185,1077,2,male,40.0,0,0,16.0,S
186,1078,2,female,21.0,0,1,21.0,S
187,1079,3,male,17.0,2,0,8.05,S
188,1080,3,female,27.0,8,2,69.55,S
189,1081,2,male,40.0,0,0,13.0,S
190,1082,2,male,34.0,1,0,26.0,S
191,1083,1,male,27.0,0,0,26.0,S
192,1084,3,male,11.5,1,1,14.5,S
193,1085,2,male,61.0,0,0,12.35,Q
194,1086,2,male,8.0,0,2,32.5,S
195,1087,3,male,33.0,0,0,7.8542,S
196,1088,1,male,6.0,0,2,134.5,C
197,1089,3,female,18.0,0,0,7.775,S
198,1090,2,male,23.0,0,0,10.5,S
199,1091,3,female,27.0,0,0,8.1125,S
200,1092,3,female,27.0,0,0,15.5,Q
201,1093,3,male,0.33,0,2,14.4,S
202,1094,1,male,47.0,1,0,227.525,C
203,1095,2,female,8.0,1,1,26.0,S
204,1096,2,male,25.0,0,0,10.5,S
205,1097,1,male,27.0,0,0,25.7417,C
206,1098,3,female,35.0,0,0,7.75,Q
207,1099,2,male,24.0,0,0,10.5,S
208,1100,1,female,33.0,0,0,27.7208,C
209,1101,3,male,25.0,0,0,7.8958,S
210,1102,3,male,32.0,0,0,22.525,S
211,1103,3,male,27.0,0,0,7.05,S
212,1104,2,male,17.0,0,0,73.5,S
213,1105,2,female,60.0,1,0,26.0,S
214,1106,3,female,38.0,4,2,7.775,S
215,1107,1,male,42.0,0,0,42.5,S
216,1108,3,female,27.0,0,0,7.8792,Q
217,1109,1,male,57.0,1,1,164.8667,S
218,1110,1,female,50.0,1,1,211.5,C
219,1111,3,male,27.0,0,0,8.05,S
220,1112,2,female,30.0,1,0,13.8583,C
221,1113,3,male,21.0,0,0,8.05,S
222,1114,2,female,22.0,0,0,10.5,S
223,1115,3,male,21.0,0,0,7.7958,S
224,1116,1,female,53.0,0,0,27.4458,C
225,1117,3,female,27.0,0,2,15.2458,C
226,1118,3,male,23.0,0,0,7.7958,S
227,1119,3,female,27.0,0,0,7.75,Q
228,1120,3,male,40.5,0,0,15.1,S
229,1121,2,male,36.0,0,0,13.0,S
230,1122,2,male,14.0,0,0,65.0,S
231,1123,1,female,21.0,0,0,26.55,S
232,1124,3,male,21.0,1,0,6.4958,S
233,1125,3,male,27.0,0,0,7.8792,Q
234,1126,1,male,39.0,1,0,71.2833,C
235,1127,3,male,20.0,0,0,7.8542,S
236,1128,1,male,64.0,1,0,75.25,C
237,1129,3,male,20.0,0,0,7.225,C
238,1130,2,female,18.0,1,1,13.0,S
239,1131,1,female,48.0,1,0,106.425,C
240,1132,1,female,55.0,0,0,27.7208,C
241,1133,2,female,45.0,0,2,30.0,S
242,1134,1,male,45.0,1,1,134.5,C
243,1135,3,male,27.0,0,0,7.8875,S
244,1136,3,male,27.0,1,2,23.45,S
245,1137,1,male,41.0,1,0,51.8625,S
246,1138,2,female,22.0,0,0,21.0,S
247,1139,2,male,42.0,1,1,32.5,S
248,1140,2,female,29.0,1,0,26.0,S
249,1141,3,female,27.0,1,0,14.4542,C
250,1142,2,female,0.92,1,2,27.75,S
251,1143,3,male,20.0,0,0,7.925,S
252,1144,1,male,27.0,1,0,136.7792,C
253,1145,3,male,24.0,0,0,9.325,S
254,1146,3,male,32.5,0,0,9.5,S
255,1147,3,male,27.0,0,0,7.55,S
256,1148,3,male,27.0,0,0,7.75,Q
257,1149,3,male,28.0,0,0,8.05,S
258,1150,2,female,19.0,0,0,13.0,S
259,1151,3,male,21.0,0,0,7.775,S
260,1152,3,male,36.5,1,0,17.4,S
261,1153,3,male,21.0,0,0,7.8542,S
262,1154,2,female,29.0,0,2,23.0,S
263,1155,3,female,1.0,1,1,12.1833,S
264,1156,2,male,30.0,0,0,12.7375,C
265,1157,3,male,27.0,0,0,7.8958,S
266,1158,1,male,27.0,0,0,0.0,S
267,1159,3,male,27.0,0,0,7.55,S
268,1160,3,female,27.0,0,0,8.05,S
269,1161,3,male,17.0,0,0,8.6625,S
270,1162,1,male,46.0,0,0,75.2417,C
271,1163,3,male,27.0,0,0,7.75,Q
272,1164,1,female,26.0,1,0,136.7792,C
273,1165,3,female,27.0,1,0,15.5,Q
274,1166,3,male,27.0,0,0,7.225,C
275,1167,2,female,20.0,1,0,26.0,S
276,1168,2,male,28.0,0,0,10.5,S
277,1169,2,male,40.0,1,0,26.0,S
278,1170,2,male,30.0,1,0,21.0,S
279,1171,2,male,22.0,0,0,10.5,S
280,1172,3,female,23.0,0,0,8.6625,S
281,1173,3,male,0.75,1,1,13.775,S
282,1174,3,female,27.0,0,0,7.75,Q
283,1175,3,female,9.0,1,1,15.2458,C
284,1176,3,female,2.0,1,1,20.2125,S
285,1177,3,male,36.0,0,0,7.25,S
286,1178,3,male,27.0,0,0,7.25,S
287,1179,1,male,24.0,1,0,82.2667,S
288,1180,3,male,27.0,0,0,7.2292,C
289,1181,3,male,27.0,0,0,8.05,S
290,1182,1,male,27.0,0,0,39.6,S
291,1183,3,female,30.0,0,0,6.95,Q
292,1184,3,male,27.0,0,0,7.2292,C
293,1185,1,male,53.0,1,1,81.8583,S
294,1186,3,male,36.0,0,0,9.5,S
295,1187,3,male,26.0,0,0,7.8958,S
296,1188,2,female,1.0,1,2,41.5792,C
297,1189,3,male,27.0,2,0,21.6792,C
298,1190,1,male,30.0,0,0,45.5,S
299,1191,3,male,29.0,0,0,7.8542,S
300,1192,3,male,32.0,0,0,7.775,S
301,1193,2,male,27.0,0,0,15.0458,C
302,1194,2,male,43.0,0,1,21.0,S
303,1195,3,male,24.0,0,0,8.6625,S
304,1196,3,female,27.0,0,0,7.75,Q
305,1197,1,female,64.0,1,1,26.55,S
306,1198,1,male,30.0,1,2,151.55,S
307,1199,3,male,0.83,0,1,9.35,S
308,1200,1,male,55.0,1,1,93.5,S
309,1201,3,female,45.0,1,0,14.1083,S
310,1202,3,male,18.0,0,0,8.6625,S
311,1203,3,male,22.0,0,0,7.225,C
312,1204,3,male,27.0,0,0,7.575,S
313,1205,3,female,37.0,0,0,7.75,Q
314,1206,1,female,55.0,0,0,135.6333,C
315,1207,3,female,17.0,0,0,7.7333,Q
316,1208,1,male,57.0,1,0,146.5208,C
317,1209,2,male,19.0,0,0,10.5,S
318,1210,3,male,27.0,0,0,7.8542,S
319,1211,2,male,22.0,2,0,31.5,S
320,1212,3,male,26.0,0,0,7.775,S
321,1213,3,male,25.0,0,0,7.2292,C
322,1214,2,male,26.0,0,0,13.0,S
323,1215,1,male,33.0,0,0,26.55,S
324,1216,1,female,39.0,0,0,211.3375,S
325,1217,3,male,23.0,0,0,7.05,S
326,1218,2,female,12.0,2,1,39.0,S
327,1219,1,male,46.0,0,0,79.2,C
328,1220,2,male,29.0,1,0,26.0,S
329,1221,2,male,21.0,0,0,13.0,S
330,1222,2,female,48.0,0,2,36.75,S
331,1223,1,male,39.0,0,0,29.7,C
332,1224,3,male,27.0,0,0,7.225,C
333,1225,3,female,19.0,1,1,15.7417,C
334,1226,3,male,27.0,0,0,7.8958,S
335,1227,1,male,30.0,0,0,26.0,S
336,1228,2,male,32.0,0,0,13.0,S
337,1229,3,male,39.0,0,2,7.2292,C
338,1230,2,male,25.0,0,0,31.5,S
339,1231,3,male,27.0,0,0,7.2292,C
340,1232,2,male,18.0,0,0,10.5,S
341,1233,3,male,32.0,0,0,7.5792,S
342,1234,3,male,27.0,1,9,69.55,S
343,1235,1,female,58.0,0,1,512.3292,C
344,1236,3,male,27.0,1,1,14.5,S
345,1237,3,female,16.0,0,0,7.65,S
346,1238,2,male,26.0,0,0,13.0,S
347,1239,3,female,38.0,0,0,7.2292,C
348,1240,2,male,24.0,0,0,13.5,S
349,1241,2,female,31.0,0,0,21.0,S
350,1242,1,female,45.0,0,1,63.3583,C
351,1243,2,male,25.0,0,0,10.5,S
352,1244,2,male,18.0,0,0,73.5,S
353,1245,2,male,49.0,1,2,65.0,S
354,1246,3,female,0.17,1,2,20.575,S
355,1247,1,male,50.0,0,0,26.0,S
356,1248,1,female,59.0,2,0,51.4792,S
357,1249,3,male,27.0,0,0,7.8792,S
358,1250,3,male,27.0,0,0,7.75,Q
359,1251,3,female,30.0,1,0,15.55,S
360,1252,3,male,14.5,8,2,69.55,S
361,1253,2,female,24.0,1,1,37.0042,C
362,1254,2,female,31.0,0,0,21.0,S
363,1255,3,male,27.0,0,0,8.6625,S
364,1256,1,female,25.0,1,0,55.4417,C
365,1257,3,female,27.0,1,9,69.55,S
366,1258,3,male,27.0,1,0,14.4583,C
367,1259,3,female,22.0,0,0,39.6875,S
368,1260,1,female,45.0,0,1,59.4,C
369,1261,2,male,29.0,0,0,13.8583,C
370,1262,2,male,21.0,1,0,11.5,S
371,1263,1,female,31.0,0,0,134.5,C
372,1264,1,male,49.0,0,0,0.0,S
373,1265,2,male,44.0,0,0,13.0,S
374,1266,1,female,54.0,1,1,81.8583,S
375,1267,1,female,45.0,0,0,262.375,C
376,1268,3,female,22.0,2,0,8.6625,S
377,1269,2,male,21.0,0,0,11.5,S
378,1270,1,male,55.0,0,0,50.0,S
379,1271,3,male,5.0,4,2,31.3875,S
380,1272,3,male,27.0,0,0,7.75,Q
381,1273,3,male,26.0,0,0,7.8792,Q
382,1274,3,female,27.0,0,0,14.5,S
383,1275,3,female,19.0,1,0,16.1,S
384,1276,2,male,27.0,0,0,12.875,S
385,1277,2,female,24.0,1,2,65.0,S
386,1278,3,male,24.0,0,0,7.775,S
387,1279,2,male,57.0,0,0,13.0,S
388,1280,3,male,21.0,0,0,7.75,Q
389,1281,3,male,6.0,3,1,21.075,S
390,1282,1,male,23.0,0,0,93.5,S
391,1283,1,female,51.0,0,1,39.4,S
392,1284,3,male,13.0,0,2,20.25,S
393,1285,2,male,47.0,0,0,10.5,S
394,1286,3,male,29.0,3,1,22.025,S
395,1287,1,female,18.0,1,0,60.0,S
396,1288,3,male,24.0,0,0,7.25,Q
397,1289,1,female,48.0,1,1,79.2,C
398,1290,3,male,22.0,0,0,7.775,S
399,1291,3,male,31.0,0,0,7.7333,Q
400,1292,1,female,30.0,0,0,164.8667,S
401,1293,2,male,38.0,1,0,21.0,S
402,1294,1,female,22.0,0,1,59.4,C
403,1295,1,male,17.0,0,0,47.1,S
404,1296,1,male,43.0,1,0,27.7208,C
405,1297,2,male,20.0,0,0,13.8625,C
406,1298,2,male,23.0,1,0,10.5,S
407,1299,1,male,50.0,1,1,211.5,C
408,1300,3,female,27.0,0,0,7.7208,Q
409,1301,3,female,3.0,1,1,13.775,S
410,1302,3,female,27.0,0,0,7.75,Q
411,1303,1,female,37.0,1,0,90.0,Q
412,1304,3,female,28.0,0,0,7.775,S
413,1305,3,male,27.0,0,0,8.05,S
414,1306,1,female,39.0,0,0,108.9,C
415,1307,3,male,38.5,0,0,7.25,S
416,1308,3,male,27.0,0,0,8.05,S
417,1309,3,male,27.0,1,1,22.3583,C
